Example Student ID,Cohort_Yr
1,2012
2,2012
3,2012
4,2012
5,2012
6,2012
7,2012
8,2012
9,2012
10,2012
11,2012
12,2012
13,2012
14,2012
15,2012
16,2012
17,2012
18,2012
19,2012
20,2012
21,2012
22,2012
23,2012
24,2012
25,2012
26,2012
27,2012
28,2012
29,2012
30,2012
31,2012
32,2012
33,2012
34,2012
35,2012
36,2012
37,2012
38,2012
39,2012
40,2012
41,2012
42,2012
43,2012
44,2012
45,2012
46,2012
47,2012
48,2012
49,2012
50,2012
51,2012
52,2012
53,2012
54,2012
55,2012
56,2012
57,2012
58,2012
59,2012
60,2012
61,2012
62,2012
63,2012
64,2012
65,2012
66,2012
67,2012
68,2012
69,2012
70,2012
71,2012
72,2012
73,2012
74,2012
75,2012
76,2012
77,2012
78,2012
79,2012
80,2012
81,2012
82,2012
83,2012
84,2012
85,2012
86,2012
87,2012
88,2012
89,2012
90,2012
91,2012
92,2012
93,2012
94,2012
95,2012
96,2012
97,2012
98,2012
99,2012
100,2012
201,2013
202,2013
203,2013
204,2013
205,2013
206,2013
207,2013
208,2013
209,2013
210,2013
211,2013
212,2013
213,2013
214,2013
215,2013
216,2013
217,2013
218,2013
219,2013
220,2013
221,2013
222,2013
223,2013
224,2013
225,2013
226,2013
227,2013
228,2013
229,2013
230,2013
231,2013
232,2013
233,2013
234,2013
235,2013
236,2013
237,2013
238,2013
239,2013
240,2013
241,2013
242,2013
243,2013
244,2013
245,2013
246,2013
247,2013
248,2013
249,2013
250,2013
251,2013
252,2013
253,2013
254,2013
255,2013
256,2013
257,2013
258,2013
259,2013
260,2013
261,2013
262,2013
263,2013
264,2013
265,2013
266,2013
267,2013
268,2013
269,2013
270,2013
271,2013
272,2013
273,2013
274,2013
275,2013
276,2013
277,2013
278,2013
279,2013
280,2013
281,2013
282,2013
283,2013
284,2013
285,2013
286,2013
287,2013
288,2013
289,2013
290,2013
291,2013
292,2013
293,2013
294,2013
295,2013
296,2013
297,2013
298,2013
299,2013
300,2013
301,2013
302,2013
303,2013
304,2013
305,2013
306,2013
307,2013
308,2013
309,2013
310,2013
